Variable,Breakdown,Breakdown_category,Year,RD_Value,Units,Footnotes
_13_Purpose of research: Energy,Published_Industry,12_Computer services,2019,31,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,13_Other services,2016,8,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,13_Other services,2018,13,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,13_Other services,2019,14,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,14_Scientific research,2016,31,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,14_Scientific research,2018,28,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,14_Scientific research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,15_Other government research,2016,C,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,15_Other government research,2018,C,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,15_Other government research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,16_Higher Education,2016,26,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,16_Higher Education,2018,31,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Published_Industry,16_Higher Education,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Sector,01_Business Sector,2016,37,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,01_Business Sector,2018,50,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,01_Business Sector,2019,79,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Sector,02_Government Sector,2016,31,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,02_Government Sector,2018,28,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,02_Government Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Sector,03_Higher Education Sector,2016,26,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,03_Higher Education Sector,2018,31,NZ Dollars (millions),1 and 8 and 10 and 20
_13_Purpose of research: Energy,Sector,03_Higher Education Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_13_Purpose of research: Energy,Size,001-009 employees,2016,C,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,001-009 employees,2018,C,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,001-009 employees,2019,C,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,010-019 employees,2016,6,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,010-019 employees,2018,13,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,010-019 employees,2019,16,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,020-049 employees,2016,7,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,020-049 employees,2018,8,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,020-049 employees,2019,5,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,050-099 employees,2016,3,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,050-099 employees,2018,5,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,050-099 employees,2019,16,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,100 or more employees,2016,73,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,100 or more employees,2018,74,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,100 or more employees,2019,36,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,Zero employees,2016,C,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,Zero employees,2018,C,NZ Dollars (millions),8 and 10 and 19 and 20
_13_Purpose of research: Energy,Size,Zero employees,2019,C,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_13_Purpose of research: Energy,Total,99_Total all sectors,2016,95,NZ Dollars (millions),8 and 10 and 20
_13_Purpose of research: Energy,Total,99_Total all sectors,2018,108,NZ Dollars (millions),8 and 10 and 20
_13_Purpose of research: Energy,Total,99_Total all sectors,2019,..,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,1,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,B_Mining,2016,..,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,B_Mining,2018,4,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,B_Mining,2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,C_Manufacturing,2016,407,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,C_Manufacturing,2018,314,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,C_Manufacturing,2019,370,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,..,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,E_Construction,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,E_Construction,2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,E_Construction,2019,2,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,F_Wholesale Trade,2016,34,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,F_Wholesale Trade,2018,46,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,F_Wholesale Trade,2019,43,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,1,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,12,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,15,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,4,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,3,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,122,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,209,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,98,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,N_Administrative and Support Services,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,N_Administrative and Support Services,2018,5,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,N_Administrative and Support Services,2019,6,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,O_Public Administration and Safety,2016,..,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,O_Public Administration and Safety,2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,O_Public Administration and Safety,2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,P_Education and Training,2016,58,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,P_Education and Training,2018,75,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,P_Education and Training,2019,..,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,1,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,2,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,..,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,S_Other Services,2016,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,S_Other Services,2018,C,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,ANZSIC_1_Digit,S_Other Services,2019,1,NZ Dollars (millions),8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,01_Primary Industry Group,2016,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,01_Primary Industry Group,2018,5,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,01_Primary Industry Group,2019,1,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,02_Manufacturing Industry Group,2016,407,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,02_Manufacturing Industry Group,2018,314,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,02_Manufacturing Industry Group,2019,370,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,03_Services Industry Group,2016,70,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,03_Services Industry Group,2018,180,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,03_Services Industry Group,2019,171,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,04_Government Industry Group,2016,93,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,04_Government Industry Group,2018,97,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,04_Government Industry Group,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,05_Higher Education Industry Group,2016,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,05_Higher Education Industry Group,2018,75,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Industry,05_Higher Education Industry Group,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,01_Primary,2016,C,NZ Dollars (millions),1 and 6 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,01_Primary,2018,5,NZ Dollars (millions),1 and 6 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,01_Primary,2019,C,NZ Dollars (millions),1 and 6 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,02_Food_Manufacturing,2016,97,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,02_Food_Manufacturing,2018,48,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,02_Food_Manufacturing,2019,61,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,03_Beverage and tobacco manufacturing,2016,6,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,03_Beverage and tobacco manufacturing,2018,8,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,03_Beverage and tobacco manufacturing,2019,8,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,5,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,7,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,7,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,19,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,51,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,28,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,06_Non-metallic mineral product manufacturing,2016,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,06_Non-metallic mineral product manufacturing,2018,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,06_Non-metallic mineral product manufacturing,2019,C,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,07_Metal product manufacturing,2016,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,07_Metal product manufacturing,2018,58,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,07_Metal product manufacturing,2019,71,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,08_Machinery and equipment manufacturing,2016,221,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,08_Machinery and equipment manufacturing,2018,128,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,08_Machinery and equipment manufacturing,2019,174,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,09_Other manufacturing,2016,6,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,09_Other manufacturing,2018,12,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,09_Other manufacturing,2019,21,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,10_Wholesale trade,2016,34,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,10_Wholesale trade,2018,46,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,10_Wholesale trade,2019,43,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,11_Scientific research and technical services,2016,9,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,11_Scientific research and technical services,2018,5,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,11_Scientific research and technical services,2019,12,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,12_Computer services,2016,18,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,12_Computer services,2018,5,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,12_Computer services,2019,35,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,13_Other services,2016,10,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,13_Other services,2018,124,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,13_Other services,2019,81,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,14_Scientific research,2016,93,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,14_Scientific research,2018,97,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,14_Scientific research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,15_Other government research,2016,..,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,15_Other government research,2018,C,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,15_Other government research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,16_Higher Education,2016,58,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,16_Higher Education,2018,75,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Published_Industry,16_Higher Education,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,01_Business Sector,2016,478,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,01_Business Sector,2018,499,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,01_Business Sector,2019,543,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,02_Government Sector,2016,93,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,02_Government Sector,2018,97,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,02_Government Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,03_Higher Education Sector,2016,58,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,03_Higher Education Sector,2018,75,NZ Dollars (millions),1 and 8 and 10 and 20
_14_Purpose of research: Manufacturing,Sector,03_Higher Education Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 10 and 20
_14_Purpose of research: Manufacturing,Size,001-009 employees,2016,20,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,001-009 employees,2018,30,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,001-009 employees,2019,27,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,010-019 employees,2016,19,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,010-019 employees,2018,22,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,010-019 employees,2019,29,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,020-049 employees,2016,30,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,020-049 employees,2018,41,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,020-049 employees,2019,72,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,050-099 employees,2016,29,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,050-099 employees,2018,52,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,050-099 employees,2019,54,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,100 or more employees,2016,523,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,100 or more employees,2018,504,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,100 or more employees,2019,340,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,Zero employees,2016,7,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,Zero employees,2018,22,NZ Dollars (millions),8 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Size,Zero employees,2019,20,NZ Dollars (millions),8 and 9 and 10 and 19 and 20
_14_Purpose of research: Manufacturing,Total,99_Total all sectors,2016,629,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,Total,99_Total all sectors,2018,671,NZ Dollars (millions),8 and 10 and 20
_14_Purpose of research: Manufacturing,Total,99_Total all sectors,2019,..,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,..,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,B_Mining,2016,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,B_Mining,2018,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,B_Mining,2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,C_Manufacturing,2016,52,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,C_Manufacturing,2018,47,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,C_Manufacturing,2019,50,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,..,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,E_Construction,2016,9,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,E_Construction,2018,6,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,E_Construction,2019,7,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,F_Wholesale Trade,2016,9,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,F_Wholesale Trade,2018,11,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,F_Wholesale Trade,2019,24,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,1,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,1,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,C,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,C,NZ Dollars (millions),8 and 9 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,63,NZ Dollars (millions),8 and 10 and 20
_15_Purpose of research: Construction and transport: Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,128,NZ Dollars (millions),8 and 10 and 20
